31	837	528	141	305
268	650	183	955	132
855	592	491	944	339
232	558	354	341	716
909	155	212	866	938
434	911	802	754	800
106	209	24	972	418
480	120	25	434	433
714	554	539	695	335
667	92	781	883	873
23	659	378	579	374
199	449	333	876	579
910	266	674	606	661
131	243	264	110	554
934	656	25	601	66
200	467	620	28	291
223	100	432	544	911
410	747	577	573	672
521	64	286	988	497
749	341	621	276	891
193	726	619	888	162
769	263	325	77	1
799	69	752	287	135
307	439	477	723	149
541	741	163	977	683
327	34	885	906	344
619	937	292	646	155
510	45	746	857	150
814	768	834	685	190
229	774	541	405	179
454	156	623	408	685
420	267	457	971	910
578	805	970	386	863
33	417	933	357	17
174	228	565	504	42
359	866	883	525	411
668	410	998	588	415
408	297	138	16	678
468	396	155	229	290
721	747	719	872	226
816	340	595	275	104
678	54	494	994	272
632	866	164	732	709
989	153	526	949	86
713	798	455	521	720
288	149	794	856	718
149	766	26	523	217
778	688	626	68	480
285	421	320	344	708
17	901	135	992	177
603	471	382	531	365
992	330	381	51	413
162	203	238	725	118
798	424	693	660	761
710	37	872	941	521
783	159	89	264	837
224	410	11	370	575
320	2	603	519	857
918	180	510	561	655
211	333	566	239	34
321	857	570	156	978
220	203	609	457	555
920	591	929	812	714
817	77	724	634	406
661	249	546	925	768
757	12	64	145	635
325	434	231	847	283
428	604	695	182	494
57	493	691	45	240
771	83	256	524	703
71	103	346	250	999
837	663	613	22	576
368	839	433	610	908
395	843	893	619	599
583	968	346	976	936
715	259	501	290	272
215	263	162	483	603
970	977	768	413	479
344	897	835	330	171
418	542	16	297	701
301	811	779	805	406
401	513	803	162	280
244	155	542	341	802
169	802	711	530	648
827	146	931	368	600
761	251	851	361	486
680	972	74	93	895
250	846	52	641	344
585	799	613	342	985
592	937	690	893	10
535	659	859	575	678
240	120	824	741	266
712	449	460	606	119
697	704	655	885	485
704	170	774	764	363
238	156	823	325	751
581	638	60	127	305
642	940	871	347	11
829	976	762	70	695
956	973	85	213	136
730	565	830	45	870
587	514	4	181	409
659	235	659	778	593
373	292	399	759	558
447	701	25	592	335
40	129	605	353	578
890	247	17	123	704
480	183	232	786	945
920	8	751	87	571
943	440	400	662	664
74	804	154	213	788
665	395	865	861	14
262	567	694	607	799
308	623	224	311	703
361	346	6	280	978
296	474	987	579	834
415	358	155	386	833
270	978	31	130	304
507	603	944	485	42
880	417	165	313	567
542	712	558	939	408
229	496	38	87	189
11	957	934	333	918
944	626	921	938	176
104	290	61	217	224
600	332	735	659	576
484	132	776	496	331
504	336	679	30	455
984	841	68	986	576
471	472	274	578	862
641	737	139	913	462
229	502	4	732	72
708	743	193	859	614
912	520	907	184	175
906	939	443	54	563
195	552	206	662	513
322	971	86	72	877
756	7	825	78	798
806	906	835	972	817
392	735	995	41	589
208	434	791	485	524
71	221	92	969	599
512	924	794	508	321
855	370	618	116	279
443	46	651	934	137
621	628	910	931	836
566	371	533	584	549
442	315	466	240	410
564	237	90	237	833
962	320	644	434	581
404	810	476	470	746
955	69	732	866	262
507	469	924	312	686
467	719	475	300	455
644	447	467	560	726
533	196	755	600	599
357	636	864	597	64
581	257	570	52	534
870	479	872	606	975
14	97	273	864	87
478	469	381	671	944
766	525	886	815	763
712	810	427	771	770
485	537	447	466	321
494	643	240	997	620
560	494	276	772	911
887	298	272	622	985
223	603	740	792	102
714	164	448	252	231
648	943	851	891	997
924	28	588	144	88
951	80	306	233	289
892	35	729	386	683
518	748	14	932	778
258	917	138	107	11
94	349	878	634	205
309	608	321	2	423
764	223	364	439	464
598	238	320	709	418
507	504	447	531	716
541	756	487	67	698
361	216	241	116	541
400	152	30	10	447
760	411	310	257	812
591	661	793	611	385
502	688	762	214	229
467	25	380	964	905
990	586	573	83	92
292	788	491	990	575
929	119	33	64	396
350	824	406	6	959
833	224	189	340	123
649	756	290	561	443
424	373	437	898	417
212	104	958	147	543
441	556	967	214	882
121	724	371	421	898
873	818	570	848	892
599	373	389	892	35
41	306	399	260	278
